round,totalCost,roundCost
242,251894563.24000025,550562.3299999833
243,252289374.36000025,394811.12000000477
244,253101045.09000024,811670.7299999893
245,253804827.58000025,703782.4900000095
246,253979255.49000025,174427.90999999642
247,255112219.28500026,1132963.7950000167
248,256007100.73000026,894881.4449999928
249,256508957.63000026,501856.90000000596
250,256842748.08500025,333790.4549999833
251,257831839.01500025,989090.9300000072
252,258004955.60000026,173116.58500000834
253,258682078.91500026,677123.3149999976
254,259261618.31500027,579539.400000006
255,260063700.38500026,802082.0699999928
256,260525636.35000026,461935.9650000036
257,261264302.85000026,738666.5
258,262269588.09000027,1005285.2400000095
259,262803475.75500026,533887.6649999917
260,263681025.60000026,877549.8449999988
261,264689305.65500027,1008280.0550000072
262,265594960.84000027,905655.1850000024
263,265808918.15000027,213957.31000000238
264,266162652.59000027,353734.4399999976
265,267281248.5100003,1118595.9200000167
266,267867185.95500028,585937.4449999928
267,268142460.08500028,275274.12999999523
268,269096879.9850003,954419.9000000358
269,270192853.4900003,1095973.5049999952
270,270972050.4250003,779196.9350000024
271,271561720.9050003,589670.4800000191
272,272726253.95500034,1164533.050000012
273,273186116.4650004,459862.51000005007
274,273840271.11000043,654154.6450000405
275,274497353.0600005,657081.9500000477
276,275150861.01500046,653507.9549999833
277,276037838.6250005,886977.6100000143
278,277092870.6300005,1055032.0049999952
279,278810685.1700005,1717814.5400000215
280,279385032.3100005,574347.1399999857
281,280780209.23500043,1395176.9249999523
282,282252240.1750004,1472030.9399999976
283,283203318.0550004,951077.8799999952
284,284249588.6750004,1046270.6200000048
285,285501276.41500044,1251687.7400000095
286,286354482.4550004,853206.0399999619
287,287493488.7300004,1139006.2749999762
288,288083580.5800004,590091.8500000238
289,288628438.37000036,544857.7899999619
290,289506631.0450003,878192.6749999523
291,289822227.27500033,315596.2300000191
292,290788045.4100003,965818.1349999905
293,291710363.71000034,922318.3000000119
294,292511422.34000033,801058.6299999952
295,293350090.4200003,838668.0799999833
296,294510122.43000036,1160032.01000005
297,294934155.0450004,424032.61500000954
298,295278115.55000037,343960.50499999523
299,296607958.3950004,1329842.8450000286
300,297406998.6250004,799040.2300000191
301,298704766.34500045,1297767.7200000286
302,299752933.92000043,1048167.5749999881
303,300716555.82500046,963621.905000031
304,301747696.4250004,1031140.5999999642
305,302585773.7050004,838077.2799999714
306,304042149.7700004,1456376.0649999976
307,304914696.63000035,872546.8599999547
308,306344701.5950003,1430004.9649999738
309,307324599.13000035,979897.5350000262
310,308420074.4600004,1095475.330000043
311,309317123.5350004,897049.0749999881
312,309735859.5900004,418736.05500000715
313,310426882.0300004,691022.4399999976
314,310925390.9400004,498508.9100000262
315,311155311.97500044,229921.03500002623
316,312120867.23500043,965555.2599999905
317,313368661.6600004,1247794.4249999523
318,313864690.2950004,496028.63499999046
319,315082761.05500036,1218070.7599999905
320,316138924.4850004,1056163.4300000072
321,316754548.18500036,615623.6999999881
322,317478214.9700003,723666.7849999666
323,318683616.4400003,1205401.469999969
324,319037794.3200003,354177.87999999523
325,319718847.9450003,681053.625
326,320256479.0550003,537631.1100000143
327,321463447.34500027,1206968.2899999619
328,322289402.98000026,825955.6349999905
329,323980445.92500025,1691042.9449999928
330,325258610.1850003,1278164.26000005
331,326420813.3600003,1162203.175000012
332,327738904.5750003,1318091.2149999738
333,329416262.3050003,1677357.730000019
334,330498279.1500003,1082016.844999969
335,331026907.0900003,528627.9399999976
336,331774589.81500024,747682.7249999642
337,332411006.85500026,636417.0400000215
338,333475727.0900003,1064720.2350000143
339,333562864.5100002,87137.41999995708
340,334684041.7000002,1121177.1899999976
341,336002956.61500025,1318914.9150000215
342,337104767.9000003,1101811.2850000262
343,337636180.2100003,531412.3100000024
344,338690157.8450003,1053977.63500005
345,339089080.57000035,398922.72500002384
